Data_Value,RaceGender
0.001,12
0.001,4
0.001,5
0.001,5
1.2,6
1.8,12
0.001,2
6,11
0.001,12
0.001,5
1.9,2
6.6,9
0.001,9
0.001,5
2,9
1,1
0.001,6
0.001,11
1.4,5
0.001,6
4.8,2
0.001,6
3.5,12
13.6,5
2.06,6
1.4,3
0.001,5
1.4,4
18.2,2
0.001,6
0.6,5
0.001,11
0.001,11
3.8,8
21.1,1
3.4,10
3.2,12
7.4,12
3.3,1
2.5,3
4.1,1
0.001,7
1.3,3
0.001,8
0.8,9
4,7
2,1
0.5,2
9.8,9
0.5,3
2.9,2
2.2,4
2.4,10
17.3,2
1.3,5
0.001,2
0.001,6
2.2,3
0.001,4
5.9,4
0.5,2
19,2
3.5,10
3.7,2
2.9,1
0.001,5
3.9,2
0.001,7
3.8,3
5.2,9
3.9,10
0.5,1
5.5,1
1.9,1
1,5
0.001,8
0.001,4
5.9,1
2,1
38.4,3
2.4,2
27.1,2
1.2,6
2.4,1
3.6,10
4.7,10
2.9,9
1.7,9
0.001,5
0.9,2
0.001,12
3.3,4
4.4,9
3.3,1
7.6,9
2.3,1
4.8,8
2,11
20.6,2
1.8,10
12.8,4
1.53,6
2.8,4
7.9,2
0.001,11
3.3,2
8,8
30.2,10
17.6,9
1.6,6
0.001,10
0.001,8
0.001,4
4.2,2
0.001,6
3.6,1
0.001,6
2.9,9
2.6,4
1.1,1
0.001,11
13.9,7
11.1,12
5.9,8
2.1,4
22.1,1
15.5,1
2.6,9
1.3,4
0.001,7
0.4,2
19.8,2
0.001,12
3.2,9
0.4,1
12.2,7
2.5,4
0.6,2
1.2,12
2.2,1
10.8,1
0.8,1
1.6,6
3.1,2
3.3,10
7.8,1
11.9,3
1.6,4
2.5,5
1.6,5
16.8,1
2.7,1
0.4,2
21,4
0.001,6
4.5,9
1.2,4
5.5,10
0.001,8
0.9,1
2,3
0.4,1
3.6,2
0.001,11
4.2,10
1.7,1
0.001,6
3.9,7
5.2,
21.8,
2.5,
3.2,
4.6,
0.001,
0.001,
0.6,
3.1,
3.5,
1.9,
2.6,
1.7,
1.6,
0.001,
5.4,
0.4,
0.001,
14.1,
2.6,
7.1,
1.7,
3.9,
0.9,
8.8,
2.5,
9,
1.3,
15.6,
0.6,
4.3,
1.4,
15.9,
2.1,
0.8,
1.3,
4.5,
16.7,
0.001,
2.8,
4.3,
3.2,
8.4,
4.3,
1.1,
8.5,1
2.8,4
1.6,1
11.3,10
2,2
3.3,5
6.3,5
15.4,1
1.3,4
1.6,12
9.7,3
4.2,1
0.001,6
0.001,2
2.2,11
13.6,5
1.1,6
3,8
0.7,2
3.3,1
1.1,9
5.7,1
0.001,2
15,1
1,10
16.9,3
0.001,10
1.3,3
0.001,6
2.6,2
3.1,8
2.1,3
23,2
0.001,2
6.5,4
3.2,10
0.001,11
1.8,2
2.6,11
0.001,3
8.3,2
0.7,2
0.5,10
0.001,2
11.9,10
0.001,8
0.6,2
10.4,2
2.5,11
4.5,5
12.8,2
1.8,3
1.3,4
0.6,3
2.7,2
2,4
3.4,1
2.8,5
1.4,5
0.001,3
14.9,4
0.001,9
