YearStart,LocationDesc,Age,Gender,RaceEthnicity,Data_Value,Sample_Size
2014,2,1,2,6,0.001,102
2014,2,2,2,3,0.001,42
2014,1,4,1,0,7.2,3743
2014,5,5,0,1,14.4,993
2014,7,2,1,1,0.001,259
2014,7,2,0,0,0.7,8848
2014,8,3,1,1,0.001,39
2014,10,0,2,1,1.2,2626
2014,10,0,2,6,1.8,1927
2014,12,1,2,5,0.001,194
2014,12,3,0,1,1.6,1966
2014,12,4,1,6,6,185
2014,13,1,2,6,0.001,60
2014,17,5,0,5,16,801
2014,18,3,1,1,0.001,60
2014,19,2,2,5,1.9,3372
2014,20,0,2,0,2.8,6639
2014,26,3,1,2,6.6,824
2014,25,2,0,2,1.9,3135
2014,30,1,0,1,0.001,70
2014,31,0,0,6,2.6,1700
2014,37,1,1,2,0.001,228
2014,40,2,1,1,0.001,67
2014,43,2,1,2,2,1313
2014,49,1,1,5,1,1509
2014,51,3,1,0,3.7,949
2014,51,0,2,1,0.001,30
2015,1,4,1,0,5.8,3843
2015,4,1,1,6,0.001,131
2015,5,0,1,1,1.4,25647
2015,10,0,0,1,1.1,4919
2015,16,3,2,1,0.001,58
2015,13,5,2,0,15.7,187
2015,15,4,2,5,4.8,5248
2015,17,4,2,1,0.001,32
2015,22,1,1,0,0.7,6585
2015,22,2,0,5,0.7,13522
2015,24,0,0,5,1.6,48532
2015,37,4,0,0,6.5,5714
2015,37,0,2,6,3.5,1563
2015,38,1,0,5,0.8,5301
2015,38,3,2,0,2.7,6988
2015,39,1,0,3,1.2,1828
2015,0,5,1,1,13.6,786
2015,45,2,0,0,1.1,8877
2015,45,0,0,3,2,2907
2015,48,1,2,0,0.9,7426
2016,11,1,0,1,0.3,819
2016,34,0,2,1,2.06,1318
2016,47,1,0,1,0.49,1148
2016,0,1,0,6,0.83,33499
2017,6,1,0,6,0.13,514
2014,6,2,2,0,0.9,7154
2015,33,5,0,5,14.4,4251
2014,44,2,1,3,1.4,13704
2015,9,2,1,1,0.001,66
2015,44,2,2,3,1.4,13731
2014,18,4,0,5,7.4,6654
